state,year.x,perc,id,year.y,color
AK,2009,13.08139534883721,2,2001,red
AK,2009,13.08139534883721,2,2012,red
AK,2009,13.08139534883721,2,2008,red
AK,2009,13.08139534883721,2,1991,red
AK,2009,13.08139534883721,2,2003,red
AK,2009,13.08139534883721,2,2017,red
AK,2009,13.08139534883721,2,1999,red
AK,2009,13.08139534883721,2,2007,red
AK,2009,13.08139534883721,2,1996,red
AK,2009,13.08139534883721,2,1992,red
AK,2009,13.08139534883721,2,2011,red
AK,2009,13.08139534883721,2,2009,red
AK,2009,13.08139534883721,2,2004,red
AK,2009,13.08139534883721,2,2000,red
AK,2009,13.08139534883721,2,2005,red
AK,2009,13.08139534883721,2,1994,red
AK,2009,13.08139534883721,2,2010,red
AK,2009,13.08139534883721,2,1997,red
AK,2009,13.08139534883721,2,2002,red
AK,2009,13.08139534883721,2,1998,red
AK,2009,13.08139534883721,2,1993,red
AK,2009,13.08139534883721,2,2006,red
AK,2009,13.08139534883721,2,1995,red
AK,2009,13.08139534883721,2,2016,red
AK,2009,13.08139534883721,2,2018,red
AK,1999,7.936507936507936,2,2001,red
AK,1999,7.936507936507936,2,2012,red
AK,1999,7.936507936507936,2,2008,red
AK,1999,7.936507936507936,2,1991,red
AK,1999,7.936507936507936,2,2003,red
AK,1999,7.936507936507936,2,2017,red
AK,1999,7.936507936507936,2,1999,red
AK,1999,7.936507936507936,2,2007,red
AK,1999,7.936507936507936,2,1996,red
AK,1999,7.936507936507936,2,1992,red
AK,1999,7.936507936507936,2,2011,red
AK,1999,7.936507936507936,2,2009,red
AK,1999,7.936507936507936,2,2004,red
AK,1999,7.936507936507936,2,2000,red
AK,1999,7.936507936507936,2,2005,red
AK,1999,7.936507936507936,2,1994,red
AK,1999,7.936507936507936,2,2010,red
AK,1999,7.936507936507936,2,1997,red
AK,1999,7.936507936507936,2,2002,red
AK,1999,7.936507936507936,2,1998,red
AK,1999,7.936507936507936,2,1993,red
AK,1999,7.936507936507936,2,2006,red
AK,1999,7.936507936507936,2,1995,red
AK,1999,7.936507936507936,2,2016,red
AK,1999,7.936507936507936,2,2018,red
AK,2008,11.904761904761903,2,2001,red
AK,2008,11.904761904761903,2,2012,red
AK,2008,11.904761904761903,2,2008,red
AK,2008,11.904761904761903,2,1991,red
AK,2008,11.904761904761903,2,2003,red
AK,2008,11.904761904761903,2,2017,red
AK,2008,11.904761904761903,2,1999,red
AK,2008,11.904761904761903,2,2007,red
AK,2008,11.904761904761903,2,1996,red
AK,2008,11.904761904761903,2,1992,red
AK,2008,11.904761904761903,2,2011,red
AK,2008,11.904761904761903,2,2009,red
AK,2008,11.904761904761903,2,2004,red
AK,2008,11.904761904761903,2,2000,red
AK,2008,11.904761904761903,2,2005,red
AK,2008,11.904761904761903,2,1994,red
AK,2008,11.904761904761903,2,2010,red
AK,2008,11.904761904761903,2,1997,red
AK,2008,11.904761904761903,2,2002,red
AK,2008,11.904761904761903,2,1998,red
AK,2008,11.904761904761903,2,1993,red
AK,2008,11.904761904761903,2,2006,red
AK,2008,11.904761904761903,2,1995,red
AK,2008,11.904761904761903,2,2016,red
AK,2008,11.904761904761903,2,2018,red
AK,2000,6.451612903225806,2,2001,red
AK,2000,6.451612903225806,2,2012,red
AK,2000,6.451612903225806,2,2008,red
AK,2000,6.451612903225806,2,1991,red
AK,2000,6.451612903225806,2,2003,red
AK,2000,6.451612903225806,2,2017,red
AK,2000,6.451612903225806,2,1999,red
AK,2000,6.451612903225806,2,2007,red
AK,2000,6.451612903225806,2,1996,red
AK,2000,6.451612903225806,2,1992,red
AK,2000,6.451612903225806,2,2011,red
AK,2000,6.451612903225806,2,2009,red
AK,2000,6.451612903225806,2,2004,red
AK,2000,6.451612903225806,2,2000,red
AK,2000,6.451612903225806,2,2005,red
AK,2000,6.451612903225806,2,1994,red
AK,2000,6.451612903225806,2,2010,red
AK,2000,6.451612903225806,2,1997,red
AK,2000,6.451612903225806,2,2002,red
AK,2000,6.451612903225806,2,1998,red
AK,2000,6.451612903225806,2,1993,red
AK,2000,6.451612903225806,2,2006,red
AK,2000,6.451612903225806,2,1995,red
AK,2000,6.451612903225806,2,2016,red
AK,2000,6.451612903225806,2,2018,red
AK,2010,10.071942446043165,2,2001,red
AK,2010,10.071942446043165,2,2012,red
AK,2010,10.071942446043165,2,2008,red
AK,2010,10.071942446043165,2,1991,red
AK,2010,10.071942446043165,2,2003,red
AK,2010,10.071942446043165,2,2017,red
AK,2010,10.071942446043165,2,1999,red
AK,2010,10.071942446043165,2,2007,red
AK,2010,10.071942446043165,2,1996,red
AK,2010,10.071942446043165,2,1992,red
AK,2010,10.071942446043165,2,2011,red
AK,2010,10.071942446043165,2,2009,red
AK,2010,10.071942446043165,2,2004,red
AK,2010,10.071942446043165,2,2000,red
AK,2010,10.071942446043165,2,2005,red
AK,2010,10.071942446043165,2,1994,red
AK,2010,10.071942446043165,2,2010,red
AK,2010,10.071942446043165,2,1997,red
AK,2010,10.071942446043165,2,2002,red
AK,2010,10.071942446043165,2,1998,red
AK,2010,10.071942446043165,2,1993,red
AK,2010,10.071942446043165,2,2006,red
AK,2010,10.071942446043165,2,1995,red
AK,2010,10.071942446043165,2,2016,red
AK,2010,10.071942446043165,2,2018,red
AK,2011,11.235955056179774,2,2001,red
AK,2011,11.235955056179774,2,2012,red
AK,2011,11.235955056179774,2,2008,red
AK,2011,11.235955056179774,2,1991,red
AK,2011,11.235955056179774,2,2003,red
AK,2011,11.235955056179774,2,2017,red
AK,2011,11.235955056179774,2,1999,red
