year,city,region,n,pop
1997,Eugene,West,9,130327
1997,Houston,South,30,1856707
1997,Kansas City,Midwest,16,439625
1997,Las Vegas Metropolitan Police Department,West,27,412392
1997,Lincoln,Northeast,1,215498
1997,Lincoln,West,1,215498
1997,Los Angeles,West,403,3631994
1997,Mesa,West,12,363891
1997,Milwaukee,Midwest,3,606307
1997,Minneapolis,Midwest,58,378346
1997,New York,Northeast,512,7802565
1997,Philadelphia,Northeast,77,1537959
1997,Phoenix,West,217,1219753
1997,Pittsburgh,Northeast,40,345159
1997,Portland,Northeast,20,501581
1997,Portland,South,1,501581
1997,Portland,West,67,501581
1997,San Diego,West,84,1189545
1997,San Francisco,West,256,760902
1997,San Jose,West,21,861133
1997,Seattle,West,36,549238
1997,St. Louis,Midwest,39,362739
1997,Taylor,Midwest,10,67350
1997,Tulsa,South,1,385324
1997,Washington,Northeast,1,582511
1997,Washington,South,6,582511
1997,Wichita,Midwest,55,332203
1998,Boston,Northeast,195,586169
1998,Chicago,Midwest,80,2873558
1998,Cincinnati,Midwest,7,337837
1998,Cleveland,Midwest,32,483845
1998,Columbus,Midwest,74,695758
1998,Dallas,South,19,1152240
1998,Denver,West,6,537230
1998,Eugene,West,28,132849
1998,Grand Rapids,Midwest,3,196066
1998,Houston,South,39,1889015
1998,Kansas City,Midwest,15,440265
1998,Las Vegas Metropolitan Police Department,West,34,434406
1998,Lincoln,Midwest,28,218859
1998,Los Angeles,West,404,3652936
1998,Memphis,Midwest,1,642148
1998,Mesa,West,19,374719
1998,Minneapolis,Midwest,48,379770
1998,New York,Northeast,475,7871136
1998,Philadelphia,Northeast,74,1531156
1998,Phoenix,West,170,1253517
1998,Pittsburgh,Northeast,38,341627
1998,Portland,Midwest,1,510761
1998,Portland,Northeast,27,510761
1998,Portland,South,1,510761
1998,Portland,West,23,510761
1998,San Diego,West,106,1200830
1998,San Francisco,West,218,766179
1998,San Jose,West,43,872403
1998,Seattle,West,28,553950
1998,St. Louis,Midwest,41,357889
1998,Taylor,Midwest,3,66856
1998,Tulsa,South,8,387899
1998,Washington,South,4,579027
1998,Wichita,Midwest,54,336230
1999,Boston,Northeast,152,587655
1999,Chicago,Midwest,78,2884787
1999,Cleveland,Midwest,21,481124
1999,Cleveland,South,4,481124
1999,Columbus,Midwest,73,703614
1999,Dallas,South,13,1170410
1999,Denver,West,19,545933
1999,Eugene,West,16,135371
1999,Flint,Midwest,5,126525
1999,Grand Rapids,Midwest,7,196933
1999,Houston,South,36,1921323
1999,Kansas City,Midwest,9,440905
1999,Las Vegas Metropolitan Police Department,West,46,456420
1999,Lincoln,Midwest,20,222220
1999,Los Angeles,West,541,3673878
1999,Memphis,Midwest,1,646124
1999,Mesa,West,14,385547
1999,Milwaukee,Midwest,1,600085
1999,Minneapolis,Midwest,66,381194
1999,New York,Northeast,373,7939707
1999,Philadelphia,Northeast,70,1524353
1999,Phoenix,West,139,1287281
1999,Pittsburgh,Northeast,47,338095
1999,Portland,Northeast,13,519941
1999,Portland,West,56,519941
1999,San Diego,West,141,1212115
1999,San Francisco,West,184,771456
1999,San Jose,West,45,883673
1999,Seattle,West,31,558662
1999,St. Louis,Midwest,19,353039
1999,Taylor,Midwest,3,66362
1999,Tulsa,South,8,390474
1999,Washington,South,11,575543
1999,Wichita,Midwest,41,340257
2000,Boston,Northeast,177,589141
2000,Chicago,Midwest,87,2896016
2000,Cincinnati,Midwest,37,331285
2000,Cleveland,Midwest,30,478403
2000,Cleveland,South,3,478403
2000,Columbus,Midwest,70,711470
2000,Dallas,South,26,1188580
2000,Denver,West,7,554636
2000,Detroit,Midwest,3,951270
2000,Eugene,West,44,137893
2000,Flint,Midwest,9,124943
2000,Houston,South,21,1953631
2000,Indianapolis,Midwest,12,781870
2000,Kansas City,Midwest,16,441545
2000,Keansburg,Northeast,2,10732
2000,Las Vegas Metropolitan Police Department,West,55,478434
2000,Lincoln,Midwest,6,225581
2000,Los Angeles,West,555,3694820
