year,party,nn,newdate,pop_2,perc
1991,Democratic,3,1991-02-25,47773,0.06279697737215582
1991,Democratic,5,1991-04-05,47773,0.10466162895359303
1991,Democratic,7,1991-01-25,47773,0.14652628053503025
1991,Democratic,4,1991-08-05,47773,0.08372930316287443
1991,Democratic,8,1991-07-25,47773,0.16745860632574885
1991,Democratic,5,1991-12-05,47773,0.10466162895359303
1991,Democratic,6,1991-06-25,47773,0.12559395474431165
1991,Democratic,7,1991-02-05,47773,0.14652628053503025
1991,Democratic,1,1991-03-25,47773,0.020932325790718607
1991,Democratic,3,1991-01-05,47773,0.06279697737215582
1991,Democratic,2,1991-05-25,47773,0.041864651581437214
1991,Democratic,9,1991-07-05,47773,0.18839093211646746
1991,Democratic,7,1991-11-25,47773,0.14652628053503025
1991,Democratic,4,1991-06-05,47773,0.08372930316287443
1991,Democratic,8,1991-10-25,47773,0.16745860632574885
1991,Democratic,3,1991-03-05,47773,0.06279697737215582
1991,Democratic,11,1991-09-25,47773,0.23025558369790466
1991,Democratic,6,1991-05-05,47773,0.12559395474431165
1991,Democratic,7,1991-04-26,47773,0.14652628053503025
1991,Democratic,4,1991-11-05,47773,0.08372930316287443
1991,Democratic,9,1991-08-26,47773,0.18839093211646746
1991,Democratic,10,1991-10-05,47773,0.20932325790718606
1991,Democratic,8,1991-12-26,47773,0.16745860632574885
1991,Democratic,2,1991-09-05,47773,0.041864651581437214
1991,Democratic,1,1991-02-26,47773,0.020932325790718607
1991,Democratic,3,1991-04-06,47773,0.06279697737215582
1991,Democratic,3,1991-01-26,47773,0.06279697737215582
1991,Democratic,8,1991-08-06,47773,0.16745860632574885
1991,Democratic,7,1991-07-26,47773,0.14652628053503025
1991,Democratic,8,1991-12-06,47773,0.16745860632574885
1991,Democratic,9,1991-06-26,47773,0.18839093211646746
1991,Democratic,2,1991-02-06,47773,0.041864651581437214
1991,Democratic,2,1991-03-26,47773,0.041864651581437214
