year,date,event_type,event_descr
1990,1990-08-02,Event,"Iraqi troops invade Kuwait, leading to the Persian Gulf War"
1990,1990-01-16,Event,US leads international coalition “Desert Storm” to drive Iraqis out of Kuwait
1990,1990-07-31,Event,US and Soviet Union sign START I treaty to reduce strategic nuclear arms
1991,1991-01-12,Event,US Congress authorizes the use of force to liberate Kuwait
1992,1992-02-01,Event,President Bush and Russian president Boris Yeltsin meet and declare an end to the cold war
1992,1992-04-29,Event,Riots in Los Angeles county after the acquittal of four white police officers charged in the beating of black motorist Rodney King
1992,1992-11-03,Event,Democratic candidate Bill Clinton wins Presidential Election
1992,1992-12-04,Event,President Bush authorizes sending US troops to Somalia as part of UN relief effort
1993,1993-01-20,Event,Bill Clinton is inaugurated as the 42nd president
1993,1993-02-26,Event,Bomb explodes in basement garage of World Trade Center
1993,1993-05-05,Event,The Supreme Court of Hawaii : Baehr v Miike trial to determine if limiting marriage to different-sex couples is unconstitutional
1993,1993-06-26,Event,President Clinton orders missile attack against Iraq in retaliation for alleged plot to assassinate former President Bush
1993,1993-10-03,Event,Eighteen US soldiers are killed in ambush by Somali militiamen in Mogadishu
1993,1993-12-08,Event,President Clinton signs North American Free Trade Agreement into law
1994,1994-05-06,Event,"Paula Jones, a former Arkansas state employee, files a federal lawsuit against President Clinton for sexual harassment"
1994,1994-06-12,Event,"High profile OJ Simpson murder case Simpson is later acquitted on October 3, 1995"
1994,1994-09-13,Event,"President Bill Clinton signs the Assault Weapons Ban, which bars the use of these weapons for ten years"
1995,1995-04-19,Event,Bombing of federal office building in Oklahoma City kills 168 people
1995,1995-06-11,Event,US establishes full diplomatic relations with Vietnam
1995,1995-12-01,Event,US troops sent to Bosnia for 12-month peacekeeping mission
1995,1995-12-16,Event,Budget standoff between President Clinton and Congress results in partial shutdown of US government
1996,1996-11-05,Event,President Bill Clinton wins re-election
1996,1996-09-21,Event,"President Bill Clinton signs into law the Defense of Marriage Act (DOMA), denying federal recognition of same-sex marriages"
1997,1997-01-20,Event,Clinton's second inauguration
1998,1998-01-17,Event,President Clinton denies having had a sexual relationship with White House intern Monica Lewinsky
1998,1998-02-02,Event,President Clinton releases 1999 federal budget plan; it is the first balanced budget since 1969
1998,1998-02-27,Event,"In Brause v Bureau of Vital Statistics, an Alaska court orders the state to show it has a compelling reason for prohibiting same-sex couples from marrying"
1998,1998-08-17,Event,"In televised address, President Clinton admits having had a sexual relationship with Monica Lewinsky"
1998,1998-08-20,Event,US launches missile attacks on targets in Sudan and Afghanistan following terrorist attacks on US embassies in Kenya and Tanzania
1998,1998-12-16,Event,US and Britain launch air strikes against weapons sites in Iraq
1998,1998-12-19,Event,House of Representatives votes to impeach President Clinton on charges of perjury and obstruction of justice
1999,1999-02-12,Event,Senate acquits Clinton of impeachment charges
1999,1999-03-24,Event,NATO wages air campaign against Yugoslavia over killing and deportation of ethnic Albanians in Kosovo
1999,1999-12-09,Event,The Supreme Court of Hawaii in Baehr v Miike upholds the state's ban on same-sex marriage
1999,1999-12-20,Event,The Vermont Supreme Court: Baker v Vermont excluding same-sex couples from marriage violates the Vermont Constitution 
1999,1999-03-29,Event,"The Dow Jones Industrial Average closes above 10,000 for the first time"
1999,1999-04-20,Event,"School shooting at Columbine High School in Littleton, Colorado"
1999,1999-11-15,Event,US and China sign historic trade agreement
2000,2000-04-01,Event,"According to the census, the nation's population numbers more than 280 million"
2000,2000-03-07,Event,"California voters approve Proposition 22, against same-sex marriage"
2000,2000-07-01,Event," Vermont institutes the first civil unions in the United States, in response to the decision in Baker v Vermont"
2000,2000-11-07,Event,Close presidential election between Al Gore and George W Bush
2000,2000-11-07,Event,Hillary Clinton wins a seat for the United States Senate from New York
2000,2000-12-12,Event,US Supreme Court rules against a manual recount of ballots in certain Florida counties. The decision provokes enormous controversy
2000,2000-12-13,Event,Bush formally accepts the presidency
2001,2001-01-20,Event,George W Bush is inaugurated as the 43rd president
2001,2001-09-11,Event,"September 11 attacks: four coordinated terrorist attacks on twin towers of World Trade Center, the Pentagon, and rural Pennsylvania."
2001,2001-10-07,Event,US and Britain launch air attacks against targets in Afghanistan
2001,2001-12-09,Event,Air campaign and ground assault by Afghani opposition troops topples the Taliban regime
2002,2002-01-29,Event,President Bush declares war against states that develop weapons of mass destruction
2002,2002-11-25,Event,President Bush signs legislation creating a new cabinet department of Homeland Security
2003,2003-02-01,Event,Space shuttle Columbia explodes upon reentry into Earth's atmosphere
2003,2003-03-19,Event,War waged by the US and Britain against Iraq begins
2003,2003-11-18,Event,Massachusetts becomes first state to legalize same-sex marriage
2003,2003-05-28,Event,President Bush signs $350 billion tax-cut bill
2003,2003-12-13,Event," Saddam Hussein, former leader of Iraq, is captured"
2004,2004-02-03,Event,CIA admits that there was no weapons of mass destruction before the 2003 Iraq war
2004,2004-02-12,Event,San Francisco issues marriage licenses to same-sex couples
2004,2004-02-25,Event,President George W Bush calls for a constitutional amendment against same-sex marriage
2004,2004-02-27,Event,"Several same-sex couples are wed in New York, but later invalidated"
